account_status,account_id,account_name,campaign_id,campaign_name,campaign_budget_remaining,campaign_daily_budget,campaign_end_date,campaign_lifetime_budget,campaign_start_date,campaign_buying_type,campaign_configured_status,campaign_objective,campaign_spend_cap,campaign_status,currency,data_source_name,date,platform_position,publisher_platform,spend_cap,cost,cost_eur,cost_gbp,cost_usd,reach,store_visits_point_estimate
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846804101490009,CLARO_CLAG_UPSELL_CONV_CPT_FBIGME_25MAY21_31MAY22_1189_11894300743599001,90.74,230.0,2022-06-30,,2021-02-01,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,instagram_reels,instagram,0.0,0.43,0.4012,0.3429,0.43,156,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846804101490009,CLARO_CLAG_UPSELL_CONV_CPT_FBIGME_25MAY21_31MAY22_1189_11894300743599001,90.74,230.0,2022-06-30,,2021-02-01,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,instagram_stories,instagram,0.0,6.6094,6.1669,5.2711,6.6094,2368,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846804101490009,CLARO_CLAG_UPSELL_CONV_CPT_FBIGME_25MAY21_31MAY22_1189_11894300743599001,90.74,230.0,2022-06-30,,2021-02-01,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,instream_video,facebook,0.0,2.2898,2.1365,1.8261,2.2898,3424,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846804101490009,CLARO_CLAG_UPSELL_CONV_CPT_FBIGME_25MAY21_31MAY22_1189_11894300743599001,90.74,230.0,2022-06-30,,2021-02-01,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,marketplace,facebook,0.0,0.33,0.3079,0.2632,0.33,128,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846804101490009,CLARO_CLAG_UPSELL_CONV_CPT_FBIGME_25MAY21_31MAY22_1189_11894300743599001,90.74,230.0,2022-06-30,,2021-02-01,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,messenger_inbox,messenger,0.0,8.1393,7.5944,6.4912,8.1393,8656,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846804101490009,CLARO_CLAG_UPSELL_CONV_CPT_FBIGME_25MAY21_31MAY22_1189_11894300743599001,90.74,230.0,2022-06-30,,2021-02-01,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,right_hand_column,facebook,0.0,0.08,0.0746,0.0638,0.08,256,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846804101490009,CLARO_CLAG_UPSELL_CONV_CPT_FBIGME_25MAY21_31MAY22_1189_11894300743599001,90.74,230.0,2022-06-30,,2021-02-01,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,search,facebook,0.0,2.6898,2.5097,2.1451,2.6898,816,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846804101490009,CLARO_CLAG_UPSELL_CONV_CPT_FBIGME_25MAY21_31MAY22_1189_11894300743599001,90.74,230.0,2022-06-30,,2021-02-01,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,video_feeds,facebook,0.0,10.859,10.1321,8.6602,10.859,6576,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846901952010009,CLARO_CLAH_B2S I_CONV_CON_FBME_01AGO21_31AGO21_4841_48414300743598001_GEO,68.88,165.0,2022-06-30,,2021-02-12,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,an_classic,audience_network,0.0,10.02,9.3492,7.9911,10.02,4072,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846901952010009,CLARO_CLAH_B2S I_CONV_CON_FBME_01AGO21_31AGO21_4841_48414300743598001_GEO,68.88,165.0,2022-06-30,,2021-02-12,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,facebook_stories,facebook,0.0,10.12,9.4425,8.0708,10.12,2488,
