account_name,ad_group_id,ad_group_name,ad_group_status,campaign_name,campaign_status,creative_quality_score,currency,data_source_name,date,keyword,keyword_destination_url,keyword_id,keyword_labels,keyword_status,match_type,network,network_with_search_partners,post_click_quality_score,account_id,quality_score,average_position,clicks,conversions,conversion_value,cost,cost_eur,cost_gbp,cost_usd,engagements,impressions,interactions,view_through_conversions
Tienda,137708884932,Audifonos,enabled,CLARO_CLAG_ACCESORIOS_CONV_CON_SEARCH_01ENE21_31DIC21_4671_46714300743634001,enabled,Below average,USD,Google Ads,2022-04-19,audifonos samsung,,2958725315,,enabled,Broad,Search Network,Search partners,Average,9464343309,6,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0
Tienda,138209159504,TIENDA VIRTUAL HOGAR_BRAN_CPC_NA_SEARCH_OLO_01OCT21_31OCT21_109059,enabled,CLARO_CLAH_SEARCH OLO_CONS_TRF_SEARCH_01OCT21_31OCT21_3434_34344300943634001 - HOGAR TVIRTUAL,enabled,Above average,USD,Google Ads,2022-04-19,olo,,92068071,,enabled,Broad,Search Network,Search partners,Average,9464343309,8,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0.0
Tienda,138209159504,TIENDA VIRTUAL HOGAR_BRAN_CPC_NA_SEARCH_OLO_01OCT21_31OCT21_109059,enabled,CLARO_CLAH_SEARCH OLO_CONS_TRF_SEARCH_01OCT21_31OCT21_3434_34344300943634001 - HOGAR TVIRTUAL,enabled,Above average,USD,Google Ads,2022-04-19,router de claro,,314348178420,,enabled,Broad,Search Network,Search partners,Average,9464343309,8,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,0,0.0
Tienda,138209159504,TIENDA VIRTUAL HOGAR_BRAN_CPC_NA_SEARCH_OLO_01OCT21_31OCT21_109059,enabled,CLARO_CLAH_SEARCH OLO_CONS_TRF_SEARCH_01OCT21_31OCT21_3434_34344300943634001 - HOGAR TVIRTUAL,enabled,Above average,USD,Google Ads,2022-04-19,router zte,,303736704642,,enabled,Broad,Search Network,Google search,Average,9464343309,7,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0.0
Tienda,138209159504,TIENDA VIRTUAL HOGAR_BRAN_CPC_NA_SEARCH_OLO_01OCT21_31OCT21_109059,enabled,CLARO_CLAH_SEARCH OLO_CONS_TRF_SEARCH_01OCT21_31OCT21_3434_34344300943634001 - HOGAR TVIRTUAL,enabled,Above average,USD,Google Ads,2022-04-19,router zte,,303736704642,,enabled,Broad,Search Network,Search partners,Average,9464343309,7,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0.0
Tienda,138209159504,TIENDA VIRTUAL HOGAR_BRAN_CPC_NA_SEARCH_OLO_01OCT21_31OCT21_109059,enabled,CLARO_CLAH_SEARCH OLO_CONS_TRF_SEARCH_01OCT21_31OCT21_3434_34344300943634001 - HOGAR TVIRTUAL,enabled,Above average,USD,Google Ads,2022-04-19,router zte mf920u,,1385338209808,,enabled,Broad,Search Network,Search partners,Average,9464343309,8,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0
Tienda,138209159664,TIENDA VIRTUAL HOGAR_BRAN_CPC_NA_SEARCH_OLO_01OCT21_31OCT21_109059_ROUTER,enabled,CLARO_CLAH_SEARCH OLO_CONS_TRF_SEARCH_01OCT21_31OCT21_3434_34344300943634001 - HOGAR TVIRTUAL,enabled,Above average,USD,Google Ads,2022-04-19,equipo router,,369913164367,,enabled,Broad,Search Network,Google search,Average,9464343309,5,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0,0.0
Tienda,138209159664,TIENDA VIRTUAL HOGAR_BRAN_CPC_NA_SEARCH_OLO_01OCT21_31OCT21_109059_ROUTER,enabled,CLARO_CLAH_SEARCH OLO_CONS_TRF_SEARCH_01OCT21_31OCT21_3434_34344300943634001 - HOGAR TVIRTUAL,enabled,Above average,USD,Google Ads,2022-04-19,equipo router,,369913164367,,enabled,Broad,Search Network,Search partners,Average,9464343309,5,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0.0
Tienda,138209159664,TIENDA VIRTUAL HOGAR_BRAN_CPC_NA_SEARCH_OLO_01OCT21_31OCT21_109059_ROUTER,enabled,CLARO_CLAH_SEARCH OLO_CONS_TRF_SEARCH_01OCT21_31OCT21_3434_34344300943634001 - HOGAR TVIRTUAL,enabled,Above average,USD,Google Ads,2022-04-19,olo peru,,295667942333,,enabled,Broad,Search Network,Search partners,Average,9464343309,8,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0.0
Tienda,138209159664,TIENDA VIRTUAL HOGAR_BRAN_CPC_NA_SEARCH_OLO_01OCT21_31OCT21_109059_ROUTER,enabled,CLARO_CLAH_SEARCH OLO_CONS_TRF_SEARCH_01OCT21_31OCT21_3434_34344300943634001 - HOGAR TVIRTUAL,enabled,Above average,USD,Google Ads,2022-04-19,olo router,,364014372677,,enabled,Broad,Search Network,Search partners,Average,9464343309,8,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0
Tienda,138209159664,TIENDA VIRTUAL HOGAR_BRAN_CPC_NA_SEARCH_OLO_01OCT21_31OCT21_109059_ROUTER,enabled,CLARO_CLAH_SEARCH OLO_CONS_TRF_SEARCH_01OCT21_31OCT21_3434_34344300943634001 - HOGAR TVIRTUAL,enabled,Above average,USD,Google Ads,2022-04-19,router zte,,303736704642,,enabled,Broad,Search Network,Google search,Average,9464343309,7,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0,0.0
Tienda,138209159664,TIENDA VIRTUAL HOGAR_BRAN_CPC_NA_SEARCH_OLO_01OCT21_31OCT21_109059_ROUTER,enabled,CLARO_CLAH_SEARCH OLO_CONS_TRF_SEARCH_01OCT21_31OCT21_3434_34344300943634001 - HOGAR TVIRTUAL,enabled,Above average,USD,Google Ads,2022-04-19,router zte,,303736704642,,enabled,Broad,Search Network,Search partners,Average,9464343309,7,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0.0
Tienda,138209159664,TIENDA VIRTUAL HOGAR_BRAN_CPC_NA_SEARCH_OLO_01OCT21_31OCT21_109059_ROUTER,enabled,CLARO_CLAH_SEARCH OLO_CONS_TRF_SEARCH_01OCT21_31OCT21_3434_34344300943634001 - HOGAR TVIRTUAL,enabled,Above average,USD,Google Ads,2022-04-19,router zte mf920u,,1385338209808,,enabled,Broad,Search Network,Google search,Average,9464343309,8,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0.0
Tienda,138209159664,TIENDA VIRTUAL HOGAR_BRAN_CPC_NA_SEARCH_OLO_01OCT21_31OCT21_109059_ROUTER,enabled,CLARO_CLAH_SEARCH OLO_CONS_TRF_SEARCH_01OCT21_31OCT21_3434_34344300943634001 - HOGAR TVIRTUAL,enabled,Above average,USD,Google Ads,2022-04-19,router zte mf920u,,1385338209808,,enabled,Broad,Search Network,Search partners,Average,9464343309,8,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0.0
Tienda,138209159704,TIENDA VIRTUAL HOGAR_BRAN_CPC_NA_SEARCH_OLO_01OCT21_31OCT21_109059_PORTATIL,enabled,CLARO_CLAH_SEARCH OLO_CONS_TRF_SEARCH_01OCT21_31OCT21_3434_34344300943634001 - HOGAR TVIRTUAL,enabled,Above average,USD,Google Ads,2022-04-19,router portátil,,305550171255,,enabled,Broad,Search Network,Search partners,Average,9464343309,8,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0
Tienda,139124493488,TIENDA NEGOCIOS_VARSEG_CPL_NA_ENTEL EMPRESAS EQUIPOS_01FEB22_31DIC22_TVC_123438,enabled,CLARO_CLAN_TIENDA NEGOCIOS_CONV_CON_SEARCH_01ENE21_31DIC22_TVC_6454_ 645443007436340011,enabled,Below average,USD,Google Ads,2022-04-19,entel para empresas,,302094879043,,enabled,Phrase,Search Network,Google search,Average,9464343309,5,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0
