account_name,advertising_channel_sub_type,advertising_channel_type,bidding_strategy,bidding_strategy_id,bidding_strategy_type,campaign_id,campaign_labels,campaign_name,campaign_status,currency,data_source_name,date,account_id,daily_budget,clicks,conversions,conversion_value,cost,cost_eur,cost_gbp,cost_usd,engagements,impressions,impression_share,interactions,search_absolute_top_impression_share,search_budget_lost_impression_share,search_exact_match_impression_share,search_impression_share,search_rank_lost_top_impression_share,search_top_impression_share,top_impression_percentage,total_budget,available_impressions,video_impressions,video_views,view_through_conversions
Tienda,,Search,,,Maximize Conversions,10314336180,"[""Equipos Claro"",""AON POSTPAGO -HM"",""tienda-virtual""]",PER_HMLIM_CLA_CTV_AON_AON POSTPAGO_112613_NN_900001494_DO_SUB_SEA_GAD_GG_LDG_CPL_BR_15JUN20_31DIC21_MARCAS POSTPAGO_pacingtm  TVIRTUAL,enabled,USD,Google Ads,2022-04-19,9464343309,255.0,506,0.0,0.0,84.5954,78.4614,65.0259,84.5954,0,1604,,506,,,,,0.0,,0.97,,0,,0,0.0
Tienda,,Search,,,Maximize Conversions,10314336183,"[""AON POSTPAGO -HM"",""tienda-virtual""]",PER_HMLIM_CLA_CTV_AON_AON POSTPAGO_112613_NN_900001494_DO_SUB_SEA_GAD_GG_LDG_CPL_BR_15JUN20_31DIC21_POSTPAGO SEARCH_pacingtm TVIRTUAL,enabled,USD,Google Ads,2022-04-19,9464343309,1900.0,3742,2.0,1200.0,712.18,660.5397,547.4311,712.18,0,9051,,3742,,,,,0.0,,0.99,,0,,0,0.0
Tienda,,Search,,,Maximize Conversions,10314336186,"[""Equipo Gen u00e9ricos"",""AON POSTPAGO -HM"",""tienda-virtual""]",PER_HMLIM_CLA_CTV_AON_AON POSTPAGO_112613_NN_900001494_DO_SUB_SEA_GAD_GG_LDG_CPL_GE_15JUN20_31DIC21_POSTPAGO MARCAS_pacingtm  TVIRTUAL,enabled,USD,Google Ads,2022-04-19,9464343309,328.0,557,0.0,0.0,97.93,90.8291,75.2758,97.93,0,7226,,557,,,,,0.0,,0.9,,0,,0,0.0
Tienda,,Search,,,Maximize Conversions,10314336189,"[""AON POSTPAGO -HM"",""tienda-virtual""]",PER_HMLIM_CLA_CTV_AON_AON POSTPAGO_112613_NN_900001494_DO_SUB_SEA_GAD_GG_LDG_CPL_GE_15JUN20_31DIC21_POSTPAGO SEARCH_pacingtm  TVIRTUAL,enabled,USD,Google Ads,2022-04-19,9464343309,192.0,190,0.0,0.0,63.01,58.4411,48.4339,63.01,0,1845,,190,,,,,0.0,,0.92,,0,,0,0.0
Tienda,,Search,,,Maximize Conversions,10314336192,"[""AON POSTPAGO -HM"",""tienda-virtual""]",PER_HMLIM_CLA_CTV_AON_AON POSTPAGO_112613_NN_900001494_DO_SUB_SEA_GAD_GG_LDG_CPL_CO_15JUN20_31DIC21_POSTPAGO BITEL_pacingtm  TVIRTUAL,enabled,USD,Google Ads,2022-04-19,9464343309,70.0,120,0.0,0.0,29.6,27.4537,22.7526,29.6,0,463,,120,,,,,0.0,,0.98,,0,,0,0.0
Tienda,,Search,,,Maximize Conversions,10314336195,"[""AON POSTPAGO -HM"",""tienda-virtual""]",PER_HMLIM_CLA_CTV_AON_AON POSTPAGO_112613_NN_900001494_DO_SUB_SEA_GAD_GG_LDG_CPL_CO_15JUN20_31DIC21_POSTPAGO MOVISTAR_pacingtm  TVIRTUAL,enabled,USD,Google Ads,2022-04-19,9464343309,148.0,159,0.0,0.0,48.49,44.974,37.2728,48.49,0,1740,,159,,,,,0.0,,0.97,,0,,0,0.0
Tienda,,Search,,,Maximize Conversions,10314336198,"[""AON POSTPAGO -HM"",""tienda-virtual""]",PER_HMLIM_CLA_CTV_AON_AON POSTPAGO_112613_NN_900001494_DO_SUB_SEA_GAD_GG_LDG_CPL_CO_15JUN20_31DIC21_POSTPAGO ENTEL_Pacingtm  TVIRTUAL,enabled,USD,Google Ads,2022-04-19,9464343309,123.0,262,0.0,0.0,43.45,40.2994,33.3987,43.45,0,2664,,262,,,,,0.0,,0.99,,0,,0,0.0
Tienda,,Search,,,Maximize Conversions,12358404239,,CLARO_CLAG_ACCESORIOS_CONV_CON_SEARCH_01ENE21_31DIC21_4671_46714300743634001,enabled,USD,Google Ads,2022-04-19,9464343309,27.44,37,0.0,0.0,6.59,6.1122,5.0655,6.59,0,680,,37,,,,,0.0,,0.44,,0,,0,0.0
Tienda,,Search,,,Maximize Conversions,15641024049,,CLARO_CLAH_SEARCH OLO_CONS_TRF_SEARCH_01OCT21_31OCT21_3434_34344300943634001 - HOGAR TVIRTUAL,enabled,USD,Google Ads,2022-04-19,9464343309,74.0,137,0.0,0.0,27.71,25.7007,21.2998,27.71,0,795,,137,,,,,0.0,,0.85,,0,,0,0.0
Tienda,,Search,,,Maximize Conversions,15644299636,,CLARO_CLAH_SEARCH MESH_CONS_TRF_SEARCH_01OCT21_31OCT21_3435_34354300943634001 - HOGAR TVIRTUAL,enabled,USD,Google Ads,2022-04-19,9464343309,70.0,85,0.0,0.0,11.0414,10.2408,8.4872,11.0414,0,5481,,85,,,,,0.0,,0.92,,0,,0,0.0
